2,to
4,for
2m,tomorrow
abt,about
b,be
b/c,because
bday,birthday
bgd,background
cont,continued
cos,because
coz,because
c,see
cuz,because
da,the
dat,that
datz,thats
deets,details
dis,this
em,them
fab,fabulous
fave,favourite
fav,favorite
fav,favourite
fb,facebook
fwd,forward
kewl,cool
kno,know
k,okay
lemme,letme
lil,little
ll,will
mins,minutes
n,and
peeps,people
pics,pictures
plz,please
pple,people
ppl,people
r,are
s,is
tha,the
thx,thanks
ure,your
ur,your
ur, you are
u,you
ve,have
wat,what
wit,with
woz,was
w,with
yu,you
y,why
yrs,years

kk,okay
an,and
lasi,lazy
wee,week
tnx, thanks
bt,but

